name,adress,price,type,RE,area_m2,land_area_m2,disposition,city,city_part,price_KC
Pronájem bytu 2+1 75 m²,"Politických vězňů, Plzeň - Jižní Předměstí",19 999 Kč/měsíc,pronájem,bytu,75,,2+1,Plzeň,Jižní Předměstí,19999.0
Pronájem bytu 2+1 52 m²,"Mládežnická, Třebíč - Nové Dvory",12 000 Kč/měsíc,pronájem,bytu,52,,2+1,Třebíč,Nové Dvory,12000.0
"Prodej rodinného domu 169 m², pozemek 609 m²",Praha - Vinoř,Cena na vyžádání,prodej,rodinného domu,169,609,,Praha,Vinoř,
Pronájem bytu 3+1 116 m²,Jiříkov - Kněžpole,11 000 Kč/měsíc,pronájem,bytu,116,,3+1,Jiříkov,Kněžpole,11000.0
Prodej bytu 3+kk 99 m²,"Přístavní, Praha - Holešovice",12 450 000 Kč,prodej,bytu,99,,3+kk,Praha,Holešovice,12450000.0
"Prodej rodinného domu 150 m², pozemek 801 m²","Rochlova, Vysoký Újezd",18 990 000 Kč,prodej,rodinného domu,150,801,,Vysoký Újezd,,18990000.0
Prodej bytu 4+kk 103 m²,"Holubova, Horoměřice",11 990 000 Kč,prodej,bytu,103,,4+kk,Horoměřice,,11990000.0
"Prodej rodinného domu 145 m², pozemek 590 m²","V Aleji, Nová Ves pod Pleší",13 990 000 Kč,prodej,rodinného domu,145,590,,Nová Ves pod Pleší,,13990000.0
Pronájem bytu 2+kk 55 m²,"Štorkánova, Praha - Smíchov",28 000 Kč/měsíc,pronájem,bytu,55,,2+kk,Praha,Smíchov,28000.0
Pronájem bytu 2+1 70 m²,Nový Bor,10 500 Kč/měsíc,pronájem,bytu,70,,2+1,Nový Bor,,10500.0
Pronájem bytu 4+1 110 m²,"Anny Letenské, Praha - Vinohrady",42 000 Kč/měsíc,pronájem,bytu,110,,4+1,Praha,Vinohrady,42000.0
Prodej bytu 2+1 53 m²,"sídl. Svobody, Prostějov",2 999 000 Kč,prodej,bytu,53,,2+1,Prostějov,,2999000.0
"Prodej chalupy 55 m², pozemek 449 m²",Moravské Málkovice,2 290 000 Kč,prodej,chalupy,55,449,,Moravské Málkovice,,2290000.0
"Prodej rodinného domu 382 m², pozemek 900 m²","Klikatá, Praha - Jinonice",59 000 000 Kč,prodej,rodinného domu,382,900,,Praha,Jinonice,59000000.0
Prodej bytu 3+1 99 m²,"Bašteckého, Praha - Stodůlky",9 890 000 Kč,prodej,bytu,99,,3+1,Praha,Stodůlky,9890000.0
Prodej bytu 3+kk 72 m²,"Kolbenova, Praha",11 565 554 Kč,prodej,bytu,72,,3+kk,Praha,,11565554.0
Pronájem bytu 2+kk 72 m²,"Lesní, Neslovice",17 590 Kč/měsíc,pronájem,bytu,72,,2+kk,Neslovice,,17590.0
Pronájem bytu 1+kk 24 m²,"třída Generála Píky, Brno - Černá Pole",12 400 Kč/měsíc,pronájem,bytu,24,,1+kk,Brno,Černá Pole,12400.0
Prodej bytu 2+kk 40 m²,"Jana Kříže, Most",1 440 000 Kč,prodej,bytu,40,,2+kk,Most,,1440000.0
Pronájem bytu 3+1 72 m²,"Plzeňská, České Budějovice - České Budějovice 3",16 100 Kč/měsíc,pronájem,bytu,72,,3+1,České Budějovice,České Budějovice 3,16100.0
Pronájem bytu 3+kk 95 m²,"Belgická, Praha - Vinohrady",40 000 Kč/měsíc,pronájem,bytu,95,,3+kk,Praha,Vinohrady,40000.0
"SLEVA: Prodej rodinného domu 211 m², pozemek 914 m²","Mladíkov, Jesenice",29 900 000 Kč,prodej,rodinného domu,211,914,,Jesenice,,29900000.0
Pronájem bytu 3+kk 56 m²,"Marie Pujmanové, Most",12 000 Kč/měsíc,pronájem,bytu,56,,3+kk,Most,,12000.0
Pronájem bytu 1+1 35 m²,"Jirkovská, Chomutov",8 200 Kč/měsíc,pronájem,bytu,35,,1+1,Chomutov,,8200.0
Prodej bytu 2+kk 93 m²,"Kardausova, Praha - Dolní Měcholupy",9 290 000 Kč,prodej,bytu,93,,2+kk,Praha,Dolní Měcholupy,9290000.0
"Pronájem rodinného domu 140 m², pozemek 741 m²","Severní, Šenov u Nového Jičína",23 000 Kč/měsíc,pronájem,rodinného domu,140,741,,Šenov u Nového Jičína,,23000.0
Pronájem bytu 1+kk 18 m²,"Na Petynce, Praha - Břevnov",14 000 Kč/měsíc,pronájem,bytu,18,,1+kk,Praha,Břevnov,14000.0
Prodej bytu 3+1 61 m²,Srbice,2 300 000 Kč,prodej,bytu,61,,3+1,Srbice,,2300000.0
Prodej bytu 3+kk 100 m²,"U Komína, Praha - Radlice",20 244 000 Kč,prodej,bytu,100,,3+kk,Praha,Radlice,20244000.0
Prodej bytu 4+kk 105 m²,Harrachov,11 000 000 Kč,prodej,bytu,105,,4+kk,Harrachov,,11000000.0
"Prodej rodinného domu 132 m², pozemek 903 m²",Česká Lípa - Dobranov,8 680 000 Kč,prodej,rodinného domu,132,903,,Česká Lípa,Dobranov,8680000.0
"Prodej rodinného domu 150 m², pozemek 445 m²","Krátká, Hostivice",9 440 000 Kč,prodej,rodinného domu,150,445,,Hostivice,,9440000.0
"Prodej rodinného domu 290 m², pozemek 618 m²","Pražská, Mnichovice",7 490 000 Kč,prodej,rodinného domu,290,618,,Mnichovice,,7490000.0
Prodej bytu 2+kk 42 m²,"Humpolecká, Praha - Krč",6 300 000 Kč,prodej,bytu,42,,2+kk,Praha,Krč,6300000.0
Prodej bytu 2+kk 55 m²,"Špitálská, Praha - Vysočany",6 600 000 Kč,prodej,bytu,55,,2+kk,Praha,Vysočany,6600000.0
"Prodej rodinného domu 277 m², pozemek 5556 m²",Jirkov - Březenec,12 464 400 Kč,prodej,rodinného domu,277,5556,,Jirkov,Březenec,12464400.0
"Prodej rodinného domu 130 m², pozemek 1243 m²",Buš,14 900 000 Kč,prodej,rodinného domu,130,1243,,Buš,,14900000.0
"Prodej rodinného domu 200 m², pozemek 435 m²",Vojkovice,8 950 000 Kč,prodej,rodinného domu,200,435,,Vojkovice,,8950000.0
"SLEVA: Prodej rodinného domu 144 m², pozemek 584 m²",Skalice nad Svitavou,7 154 100 Kč,prodej,rodinného domu,144,584,,Skalice nad Svitavou,,7154100.0
Pronájem bytu 1+kk 31 m²,"V Oblouku, Ústí nad Labem - Krásné Březno",13 000 Kč/měsíc,pronájem,bytu,31,,1+kk,Ústí nad Labem,Krásné Březno,13000.0
Pronájem bytu 3+1 70 m²,"K Rozvodně, Pardubice - Cihelna",20 000 Kč/měsíc,pronájem,bytu,70,,3+1,Pardubice,Cihelna,20000.0
Pronájem bytu 2+kk 48 m²,"Otýlie Beníškové, Plzeň - Severní Předměstí",15 000 Kč/měsíc,pronájem,bytu,48,,2+kk,Plzeň,Severní Předměstí,15000.0
Prodej bytu 2+1 50 m²,Vroutek - Mlýnce,790 000 Kč,prodej,bytu,50,,2+1,Vroutek,Mlýnce,790000.0
Pronájem bytu 3+kk 78 m²,"Štúrova, Praha - Lhotka",30 000 Kč/měsíc,pronájem,bytu,78,,3+kk,Praha,Lhotka,30000.0
"Prodej rodinného domu 66 m², pozemek 585 m²",Domašov u Šternberka,5 990 000 Kč,prodej,rodinného domu,66,585,,Domašov u Šternberka,,5990000.0
Pronájem bytu 1+kk 36 m²,"Chudčická, Brno",13 000 Kč/měsíc,pronájem,bytu,36,,1+kk,Brno,,13000.0
Pronájem bytu 2+kk 53 m²,"Sladová, Plzeň - Východní Předměstí",16 900 Kč/měsíc,pronájem,bytu,53,,2+kk,Plzeň,Východní Předměstí,16900.0
Prodej bytu 1+kk 34 m²,"Křižíkova, Brno - Královo Pole",4 350 000 Kč,prodej,bytu,34,,1+kk,Brno,Královo Pole,4350000.0
Prodej bytu 1+kk 29 m²,"Cyklistická, Plzeň - Východní Předměstí",4 281 500 Kč,prodej,bytu,29,,1+kk,Plzeň,Východní Předměstí,4281500.0
"Prodej rodinného domu 194 m², pozemek 359 m²","Šplechnerova, Praha - Horní Počernice",15 990 000 Kč,prodej,rodinného domu,194,359,,Praha,Horní Počernice,15990000.0
"Prodej rodinného domu 140 m², pozemek 426 m²",Vysoké nad Jizerou,5 990 000 Kč,prodej,rodinného domu,140,426,,Vysoké nad Jizerou,,5990000.0
"Prodej rodinného domu 150 m², pozemek 1432 m²",Nučice,Cena na vyžádání,prodej,rodinného domu,150,1432,,Nučice,,
"Prodej rodinného domu 120 m², pozemek 248 m²",Bernartice,4 100 000 Kč,prodej,rodinného domu,120,248,,Bernartice,,4100000.0
Pronájem bytu 1+kk 35 m²,"Ke Křížku, Kladno - Dubí",14 000 Kč/měsíc,pronájem,bytu,35,,1+kk,Kladno,Dubí,14000.0
Prodej bytu 2+1 60 m²,"Martincova, Velké Poříčí",2 200 000 Kč,prodej,bytu,60,,2+1,Velké Poříčí,,2200000.0
Prodej bytu 3+kk 87 m²,"28. října, Jablonec nad Nisou",5 750 000 Kč,prodej,bytu,87,,3+kk,Jablonec nad Nisou,,5750000.0
"SLEVA: Prodej rodinného domu 117 m², pozemek 907 m²","Vlašimská, Benešov",8 000 000 Kč,prodej,rodinného domu,117,907,,Benešov,,8000000.0
Prodej bytu 2+kk 42 m²,"Sametová, Liberec - Liberec VI-Rochlice",3 990 000 Kč,prodej,bytu,42,,2+kk,Liberec,Liberec VI-Rochlice,3990000.0
Prodej bytu 3+1 70 m²,"Hrdinů, Liberec - Liberec XII-Staré Pavlovice",5 290 000 Kč,prodej,bytu,70,,3+1,Liberec,Liberec XII-Staré Pavlovice,5290000.0
Prodej bytu 3+kk 65 m²,"Sosnová, Liberec - Liberec XV-Starý Harcov",6 790 000 Kč,prodej,bytu,65,,3+kk,Liberec,Liberec XV-Starý Harcov,6790000.0
Prodej bytu 2+kk 42 m²,"Dlážděná, Liberec - Liberec XXX-Vratislavice nad Nisou",4 190 000 Kč,prodej,bytu,42,,2+kk,Liberec,Liberec XXX-Vratislavice nad Nisou,4190000.0
Pronájem bytu 2+kk 62 m²,"Goldscheiderova, Plzeň - Jižní Předměstí",16 000 Kč/měsíc,pronájem,bytu,62,,2+kk,Plzeň,Jižní Předměstí,16000.0
"Prodej chalupy 72 m², pozemek 2505 m²",Střezimíř,4 500 000 Kč,prodej,chalupy,72,2505,,Střezimíř,,4500000.0
Pronájem bytu 1+1 35 m²,"V Zahradách, Žatec",8 000 Kč/měsíc,pronájem,bytu,35,,1+1,Žatec,,8000.0
"Prodej rodinného domu 458 m², pozemek 1679 m²","Na Rafandě, Tuklaty",25 000 000 Kč,prodej,rodinného domu,458,1679,,Tuklaty,,25000000.0
"Prodej rodinného domu 72 m², pozemek 2505 m²",Střezimíř,4 500 000 Kč,prodej,rodinného domu,72,2505,,Střezimíř,,4500000.0
Pronájem bytu 2+kk 53 m²,"Heyrovského, Plzeň - Doudlevce",17 000 Kč/měsíc,pronájem,bytu,53,,2+kk,Plzeň,Doudlevce,17000.0
"Prodej rodinného domu 207 m², pozemek 1673 m²",Pesvice,7 990 000 Kč,prodej,rodinného domu,207,1673,,Pesvice,,7990000.0
Pronájem bytu 4+1 113 m²,"Anny Letenské, Praha - Vinohrady",42 000 Kč/měsíc,pronájem,bytu,113,,4+1,Praha,Vinohrady,42000.0
Pronájem bytu 1+1 47 m²,Otovice,7 500 Kč/měsíc,pronájem,bytu,47,,1+1,Otovice,,7500.0
Pronájem bytu 2+1 58 m²,"Legií, Varnsdorf",6 500 Kč/měsíc,pronájem,bytu,58,,2+1,Varnsdorf,,6500.0
Prodej bytu 3+kk 82 m²,"Šumavská, Karlovy Vary",5 990 000 Kč,prodej,bytu,82,,3+kk,Karlovy Vary,,5990000.0
"Prodej vícegeneračního domu 400 m², pozemek 134 m²",Kraslice,3 500 000 Kč,prodej,vícegeneračního domu,400,134,,Kraslice,,3500000.0
Pronájem bytu 3+1 103 m²,"Belgická, Praha - Vinohrady",40 000 Kč/měsíc,pronájem,bytu,103,,3+1,Praha,Vinohrady,40000.0
Pronájem bytu 3+kk 60 m²,"Na Kozačce, Praha - Vinohrady",32 000 Kč/měsíc,pronájem,bytu,60,,3+kk,Praha,Vinohrady,32000.0
Pronájem bytu 3+kk 63 m²,"Máchova, Praha - Vinohrady",32 000 Kč/měsíc,pronájem,bytu,63,,3+kk,Praha,Vinohrady,32000.0
Pronájem bytu 2+kk 41 m²,"Ruská, Praha - Vršovice",19 000 Kč/měsíc,pronájem,bytu,41,,2+kk,Praha,Vršovice,19000.0
Prodej bytu 2+kk 59 m²,"Kardinála Berana, Plzeň - Jižní Předměstí",5 499 000 Kč,prodej,bytu,59,,2+kk,Plzeň,Jižní Předměstí,5499000.0
"Prodej rodinného domu 430 m², pozemek 1531 m²",Honezovice,3 500 000 Kč,prodej,rodinného domu,430,1531,,Honezovice,,3500000.0
"Prodej rodinného domu 538 m², pozemek 830 m²","V Ovčárně, Lázně Toušeň",16 990 000 Kč,prodej,rodinného domu,538,830,,Lázně Toušeň,,16990000.0
Pronájem bytu 2+kk 128 m²,"Kořenského, Praha - Smíchov",50 000 Kč/měsíc,pronájem,bytu,128,,2+kk,Praha,Smíchov,50000.0
"Prodej rodinného domu 280 m², pozemek 1462 m²",Hlučín,Cena na vyžádání,prodej,rodinného domu,280,1462,,Hlučín,,
"Prodej rodinného domu 140 m², pozemek 276 m²","Krejčího, Olomouc - Svatý Kopeček",Cena na vyžádání,prodej,rodinného domu,140,276,,Olomouc,Svatý Kopeček,
"Prodej rodinného domu 107 m², pozemek 269 m²",Luleč,2 990 000 Kč,prodej,rodinného domu,107,269,,Luleč,,2990000.0
Prodej bytu 3+1 72 m²,"Zikova, Olomouc - Nové Sady",Cena na vyžádání,prodej,bytu,72,,3+1,Olomouc,Nové Sady,
Pronájem bytu 2+1 55 m²,"Obránců míru, Hranice - Hranice I-Město",13 000 Kč/měsíc,pronájem,bytu,55,,2+1,Hranice,Hranice I-Město,13000.0
Prodej bytu 4+1 121 m²,"Svatoplukova, Litovel",5 490 000 Kč,prodej,bytu,121,,4+1,Litovel,,5490000.0
Prodej bytu 1+1 28 m²,"Svatoplukova, Litovel",3 290 000 Kč,prodej,bytu,28,,1+1,Litovel,,3290000.0
Prodej bytu 4+kk 215 m²,"Za Kovárnou, Praha - Dolní Měcholupy",17 499 000 Kč,prodej,bytu,215,,4+kk,Praha,Dolní Měcholupy,17499000.0
Pronájem bytu 1+kk 21 m²,Olešná,4 999 Kč/měsíc,pronájem,bytu,21,,1+kk,Olešná,,4999.0
SLEVA: Pronájem bytu 2+kk 44 m²,"Katovická, Praha - Bohnice",17 999 Kč/měsíc,pronájem,bytu,44,,2+kk,Praha,Bohnice,17999.0
Pronájem bytu 2+1 57 m²,"Evropská, Cheb",8 999 Kč/měsíc,pronájem,bytu,57,,2+1,Cheb,,8999.0
"Prodej rodinného domu 124 m², pozemek 1002 m²",Horní Planá,4 349 000 Kč,prodej,rodinného domu,124,1002,,Horní Planá,,4349000.0
"Pronájem rodinného domu 90 m², pozemek 976 m²",Běhařovice - Stupešice,15 000 Kč/měsíc,pronájem,rodinného domu,90,976,,Běhařovice,Stupešice,15000.0
"Prodej rodinného domu 129 m², pozemek 167 m²","Hlavní, Průhonice",17 500 000 Kč,prodej,rodinného domu,129,167,,Průhonice,,17500000.0
"Prodej rodinného domu 155 m², pozemek 357 m²","Kostivalová, Květnice",Cena na vyžádání,prodej,rodinného domu,155,357,,Květnice,,
"Prodej rodinného domu 140 m², pozemek 235 m²","Kostivalová, Květnice",11 700 000 Kč,prodej,rodinného domu,140,235,,Květnice,,11700000.0
"Prodej rodinného domu 155 m², pozemek 375 m²","Kostivalová, Květnice",Cena na vyžádání,prodej,rodinného domu,155,375,,Květnice,,
Pronájem bytu 2+kk 51 m²,"Grmelova, Brno - Štýřice",21 500 Kč/měsíc,pronájem,bytu,51,,2+kk,Brno,Štýřice,21500.0
"Prodej rodinného domu 147 m², pozemek 415 m²","Devětsilová, Květnice",Cena na vyžádání,prodej,rodinného domu,147,415,,Květnice,,
"Prodej rodinného domu 147 m², pozemek 282 m²","Devětsilová, Květnice",Cena na vyžádání,prodej,rodinného domu,147,282,,Květnice,,
"Prodej rodinného domu 130 m², pozemek 736 m²","Klikatá, Praha - Jinonice",18 990 000 Kč,prodej,rodinného domu,130,736,,Praha,Jinonice,18990000.0
"Prodej rodinného domu 186 m², pozemek 776 m²","Svatopluka Čecha, Městec Králové",5 750 000 Kč,prodej,rodinného domu,186,776,,Městec Králové,,5750000.0
"Prodej chaty 34 m², pozemek 1660 m²","Rakovecká, Brno - Bystrc",Cena na vyžádání,prodej,chaty,34,1660,,Brno,Bystrc,
"Prodej chaty 54 m², pozemek 500 m²",Psáry,6 500 000 Kč,prodej,chaty,54,500,,Psáry,,6500000.0
Prodej bytu 3+kk 119 m²,"Pod Krocínkou, Praha - Vysočany",19 373 005 Kč,prodej,bytu,119,,3+kk,Praha,Vysočany,19373005.0
Prodej bytu 3+kk 66 m²,"Veronské nám., Praha - Horní Měcholupy",7 300 000 Kč,prodej,bytu,66,,3+kk,Praha,Horní Měcholupy,7300000.0
"Prodej rodinného domu 93 m², pozemek 267 m²","Jugoslávská, Český Brod",7 495 000 Kč,prodej,rodinného domu,93,267,,Český Brod,,7495000.0
"Prodej rodinného domu 197 m², pozemek 512 m²",Býchory,6 950 000 Kč,prodej,rodinného domu,197,512,,Býchory,,6950000.0
"Prodej rodinného domu 167 m², pozemek 1711 m²","Na Jaroši, Předboj",15 950 000 Kč,prodej,rodinného domu,167,1711,,Předboj,,15950000.0
"Prodej rodinného domu 150 m², pozemek 364 m²","Nádražní II, Tuchlovice",6 500 000 Kč,prodej,rodinného domu,150,364,,Tuchlovice,,6500000.0
"Prodej rodinného domu 252 m², pozemek 1577 m²","Na Balkáně, Tanvald - Šumburk nad Desnou",Cena na vyžádání,prodej,rodinného domu,252,1577,,Tanvald,Šumburk nad Desnou,
Pronájem bytu 1+1 34 m²,"Černého, Brno - Bystrc",13 400 Kč/měsíc,pronájem,bytu,34,,1+1,Brno,Bystrc,13400.0
Prodej bytu 2+1 78 m²,"Nerudova, České Velenice",2 400 000 Kč,prodej,bytu,78,,2+1,České Velenice,,2400000.0
Prodej bytu 1+1 43 m²,"Nová, Zliv",3 500 000 Kč,prodej,bytu,43,,1+1,Zliv,,3500000.0
Prodej bytu 1+1 39 m²,"Lužická, Frýdlant",1 380 000 Kč,prodej,bytu,39,,1+1,Frýdlant,,1380000.0
Prodej bytu 2+kk 92 m²,"U Blaženky, Praha - Smíchov",9 715 000 Kč,prodej,bytu,92,,2+kk,Praha,Smíchov,9715000.0
Prodej bytu 3+kk 135 m²,"U Blaženky, Praha - Smíchov",14 840 000 Kč,prodej,bytu,135,,3+kk,Praha,Smíchov,14840000.0
"Prodej rodinného domu 200 m², pozemek 763 m²","Zlonínská, Líbeznice",21 000 000 Kč,prodej,rodinného domu,200,763,,Líbeznice,,21000000.0
"Prodej chalupy 170 m², pozemek 748 m²","V Olšině, Velké Poříčí",5 990 000 Kč,prodej,chalupy,170,748,,Velké Poříčí,,5990000.0
Prodej bytu 1+1 37 m²,"U Hvězdy, Kladno - Kročehlavy",4 035 000 Kč,prodej,bytu,37,,1+1,Kladno,Kročehlavy,4035000.0
"Prodej rodinného domu 320 m², pozemek 789 m²","Chelčického, Chlum u Třeboně",10 500 000 Kč,prodej,rodinného domu,320,789,,Chlum u Třeboně,,10500000.0
Prodej bytu 2+kk 48 m²,"Čsl. armády, Hostivice",5 856 000 Kč,prodej,bytu,48,,2+kk,Hostivice,,5856000.0
"Prodej chalupy 320 m², pozemek 789 m²","Chelčického, Chlum u Třeboně",10 500 000 Kč,prodej,chalupy,320,789,,Chlum u Třeboně,,10500000.0
"Prodej rodinného domu 730 m², pozemek 377 m²","Husovo náměstí, Nové Město nad Metují",24 900 000 Kč,prodej,rodinného domu,730,377,,Nové Město nad Metují,,24900000.0
Prodej bytu 4+kk 117 m²,"Anenská, Brno - Staré Brno",20 000 000 Kč,prodej,bytu,117,,4+kk,Brno,Staré Brno,20000000.0
Prodej bytu atypický 158 m²,"Karlova, Praha - Staré Město",19 900 000 Kč,prodej,bytu,,,,Praha,Staré Město,19900000.0
"Prodej rodinného domu 150 m², pozemek 3314 m²","Kollárova, Uhlířské Janovice",4 795 000 Kč,prodej,rodinného domu,150,3314,,Uhlířské Janovice,,4795000.0
Pronájem bytu 2+kk 31 m²,"Mozartova, Praha - Smíchov",22 995 Kč/měsíc,pronájem,bytu,31,,2+kk,Praha,Smíchov,22995.0
"Prodej vily 702 m², pozemek 677 m²","Pražská, Suchdol nad Lužnicí",10 500 000 Kč,prodej,vily,702,677,,Suchdol nad Lužnicí,,10500000.0
Prodej bytu 2+1 56 m²,"Příborská, Praha - Letňany",6 995 000 Kč,prodej,bytu,56,,2+1,Praha,Letňany,6995000.0
"Prodej chaty 140 m², pozemek 424 m²",Stražisko,2 999 000 Kč,prodej,chaty,140,424,,Stražisko,,2999000.0
"Prodej rodinného domu 155 m², pozemek 1064 m²",Pila,7 000 000 Kč,prodej,rodinného domu,155,1064,,Pila,,7000000.0
Pronájem bytu 4+kk 150 m²,"Na Hrobci, Praha - Nové Město",95 000 Kč/měsíc,pronájem,bytu,150,,4+kk,Praha,Nové Město,95000.0
"Prodej rodinného domu 78 m², pozemek 678 m²",Králův Dvůr,13 250 000 Kč,prodej,rodinného domu,78,678,,Králův Dvůr,,13250000.0
"Prodej rodinného domu 120 m², pozemek 475 m²",Vracovice,3 990 000 Kč,prodej,rodinného domu,120,475,,Vracovice,,3990000.0
Pronájem bytu 2+kk 48 m²,"Na Císařce, Praha - Smíchov",25 900 Kč/měsíc,pronájem,bytu,48,,2+kk,Praha,Smíchov,25900.0
Pronájem bytu 2+kk 64 m²,"Štěpánská, Praha - Nové Město",29 800 Kč/měsíc,pronájem,bytu,64,,2+kk,Praha,Nové Město,29800.0
Pronájem bytu 3+kk 72 m²,"Nádražní, Praha - Smíchov",26 900 Kč/měsíc,pronájem,bytu,72,,3+kk,Praha,Smíchov,26900.0
Pronájem bytu 1+1 39 m²,"Štěpánská, Praha - Nové Město",25 000 Kč/měsíc,pronájem,bytu,39,,1+1,Praha,Nové Město,25000.0
Pronájem bytu 3+kk 147 m²,"Dělnická, Praha - Holešovice",60 000 Kč/měsíc,pronájem,bytu,147,,3+kk,Praha,Holešovice,60000.0
"Prodej vily 529 m², pozemek 2277 m²",Štěchovice - Třebenice,16 000 000 Kč,prodej,vily,529,2277,,Štěchovice,Třebenice,16000000.0
Prodej bytu 3+kk 119 m²,"Gotthardská, Praha - Bubeneč",26 278 859 Kč,prodej,bytu,119,,3+kk,Praha,Bubeneč,26278859.0
"Prodej rodinného domu 148 m², pozemek 683 m²","Janečkova, Drnholec",8 750 000 Kč,prodej,rodinného domu,148,683,,Drnholec,,8750000.0
Pronájem bytu 1+kk 25 m²,"Palackého, Jablonec nad Nisou",6 500 Kč/měsíc,pronájem,bytu,25,,1+kk,Jablonec nad Nisou,,6500.0
Prodej bytu 3+kk 97 m²,"Moutnická, Brno - Slatina",Cena na vyžádání,prodej,bytu,97,,3+kk,Brno,Slatina,
Pronájem bytu 2+kk 52 m²,"Kettnerova, Praha - Stodůlky",16 600 Kč/měsíc,pronájem,bytu,52,,2+kk,Praha,Stodůlky,16600.0
Pronájem bytu 3+kk 64 m²,"Zámecká, Brno - Chrlice",19 900 Kč/měsíc,pronájem,bytu,64,,3+kk,Brno,Chrlice,19900.0
Prodej bytu 2+kk 48 m²,"Vilová, Jirny - Nové Jirny",4 800 000 Kč,prodej,bytu,48,,2+kk,Jirny,Nové Jirny,4800000.0
"Prodej rodinného domu 120 m², pozemek 233 m²","Žižkova, Týnec nad Labem",3 500 000 Kč,prodej,rodinného domu,120,233,,Týnec nad Labem,,3500000.0
Prodej bytu 2+kk 60 m²,"U Hřiště, Velký Osek",4 395 000 Kč,prodej,bytu,60,,2+kk,Velký Osek,,4395000.0
"Prodej rodinného domu 130 m², pozemek 665 m²","Lánská, Týnec nad Labem",4 500 000 Kč,prodej,rodinného domu,130,665,,Týnec nad Labem,,4500000.0
Pronájem bytu 3+kk 77 m²,"Soukalova, Praha - Modřany",30 000 Kč/měsíc,pronájem,bytu,77,,3+kk,Praha,Modřany,30000.0
Prodej bytu 3+1 63 m²,"Švestková, Ústí nad Labem - Severní Terasa",2 990 000 Kč,prodej,bytu,63,,3+1,Ústí nad Labem,Severní Terasa,2990000.0
Pronájem bytu 1+1 30 m²,"Soudní, Praha - Nusle",14 000 Kč/měsíc,pronájem,bytu,30,,1+1,Praha,Nusle,14000.0
Prodej bytu 1+kk 31 m²,"Spojovací, Praha - Žižkov",2 790 000 Kč,prodej,bytu,31,,1+kk,Praha,Žižkov,2790000.0
Pronájem bytu 3+kk 154 m²,"Prokopova, Praha - Žižkov",38 000 Kč/měsíc,pronájem,bytu,154,,3+kk,Praha,Žižkov,38000.0
"Prodej rodinného domu 120 m², pozemek 451 m²","Hlavní, Praha - Záběhlice",16 590 000 Kč,prodej,rodinného domu,120,451,,Praha,Záběhlice,16590000.0
Prodej bytu 3+kk 86 m²,"Pod Valy, Kutná Hora - Hlouška",Cena na vyžádání,prodej,bytu,86,,3+kk,Kutná Hora,Hlouška,
"Prodej vícegeneračního domu 130 m², pozemek 372 m²",Jirny - Nové Jirny,16 000 000 Kč,prodej,vícegeneračního domu,130,372,,Jirny,Nové Jirny,16000000.0
"Prodej rodinného domu 97 m², pozemek 627 m²",Tachov,5 330 000 Kč,prodej,rodinného domu,97,627,,Tachov,,5330000.0
Pronájem bytu 1+kk 38 m²,"Hloušecká, Kutná Hora - Hlouška",13 500 Kč/měsíc,pronájem,bytu,38,,1+kk,Kutná Hora,Hlouška,13500.0
Pronájem bytu 1+1 28 m²,"Rabasova, Slaný",9 700 Kč/měsíc,pronájem,bytu,28,,1+1,Slaný,,9700.0
Pronájem bytu 2+kk 50 m²,"Hloušecká, Kutná Hora - Hlouška",18 700 Kč/měsíc,pronájem,bytu,50,,2+kk,Kutná Hora,Hlouška,18700.0
Prodej bytu 1+kk 34 m²,Harrachov,4 790 000 Kč,prodej,bytu,34,,1+kk,Harrachov,,4790000.0
"Prodej rodinného domu 132 m², pozemek 400 m²",Čisovice,7 248 000 Kč,prodej,rodinného domu,132,400,,Čisovice,,7248000.0
Pronájem bytu 1+kk 43 m²,"Pod Valy, Kutná Hora - Hlouška",14 900 Kč/měsíc,pronájem,bytu,43,,1+kk,Kutná Hora,Hlouška,14900.0
"Prodej rodinného domu 184 m², pozemek 1039 m²",Drásov,13 890 000 Kč,prodej,rodinného domu,184,1039,,Drásov,,13890000.0
"Prodej rodinného domu 108 m², pozemek 271 m²",Nehvizdy,Cena na vyžádání,prodej,rodinného domu,108,271,,Nehvizdy,,
"Prodej rodinného domu 226 m², pozemek 652 m²","V Trníčku, Praha - Dejvice",50 400 000 Kč,prodej,rodinného domu,226,652,,Praha,Dejvice,50400000.0
Prodej bytu 2+kk 48 m²,"náměstí Osvoboditelů, Praha - Radotín",7 377 061 Kč,prodej,bytu,48,,2+kk,Praha,Radotín,7377061.0
Prodej bytu 1+kk 42 m²,"V Háji, Praha - Holešovice",9 385 804 Kč,prodej,bytu,42,,1+kk,Praha,Holešovice,9385804.0
Pronájem bytu 1+kk 24 m²,"Hloušecká, Kutná Hora - Hlouška",10 900 Kč/měsíc,pronájem,bytu,24,,1+kk,Kutná Hora,Hlouška,10900.0
"Prodej rodinného domu 50 m², pozemek 436 m²",Olomouc - Nemilany,4 270 000 Kč,prodej,rodinného domu,50,436,,Olomouc,Nemilany,4270000.0
"Prodej rodinného domu 132 m², pozemek 882 m²",Mořina,11 489 000 Kč,prodej,rodinného domu,132,882,,Mořina,,11489000.0
"Prodej rodinného domu 138 m², pozemek 465 m²",Nymburk,10 899 000 Kč,prodej,rodinného domu,138,465,,Nymburk,,10899000.0
