name,adress,price,type,RE,area_m2,land_area_m2,disposition,city,city_part,price_KC
Prodej bytu 1+kk 31 m²,"Vysočanské náměstí, Praha - Vysočany",4 650 000 Kč,prodej,bytu,31,,1+kk,Praha,Vysočany,4650000.0
Prodej bytu 4+kk 123 m²,"Vysočanské náměstí, Praha - Vysočany",11 950 000 Kč,prodej,bytu,123,,4+kk,Praha,Vysočany,11950000.0
Prodej bytu 3+kk 91 m²,"Vysočanské náměstí, Praha - Vysočany",9 790 000 Kč,prodej,bytu,91,,3+kk,Praha,Vysočany,9790000.0
Prodej bytu 2+kk 57 m²,"Vysočanské náměstí, Praha - Vysočany",6 250 000 Kč,prodej,bytu,57,,2+kk,Praha,Vysočany,6250000.0
Prodej bytu 1+kk 29 m²,"Vysočanské náměstí, Praha - Vysočany",3 690 000 Kč,prodej,bytu,29,,1+kk,Praha,Vysočany,3690000.0
Prodej bytu 1+1 41 m²,"Vysočanské náměstí, Praha - Vysočany",4 690 000 Kč,prodej,bytu,41,,1+1,Praha,Vysočany,4690000.0
Prodej bytu 1+1 49 m²,"Oldřichova, Praha - Nusle",7 390 000 Kč,prodej,bytu,49,,1+1,Praha,Nusle,7390000.0
Prodej bytu 2+kk 35 m²,"Vlkova, Praha - Žižkov",6 290 000 Kč,prodej,bytu,35,,2+kk,Praha,Žižkov,6290000.0
Prodej bytu 1+kk 34 m²,"Jindřicha Plachty, Praha - Smíchov",5 450 000 Kč,prodej,bytu,34,,1+kk,Praha,Smíchov,5450000.0
Pronájem bytu 2+kk 66 m²,"Jantarová, Ostrava - Moravská Ostrava",16 000 Kč/měsíc,pronájem,bytu,66,,2+kk,Ostrava,Moravská Ostrava,16000.0
Prodej bytu 1+kk 55 m²,"8. května, Olomouc",8 044 080 Kč,prodej,bytu,55,,1+kk,Olomouc,,8044080.0
Prodej bytu 1+kk 40 m²,"8. května, Olomouc",5 895 120 Kč,prodej,bytu,40,,1+kk,Olomouc,,5895120.0
Pronájem bytu 1+kk 34 m²,"U Leskavy, Brno - Starý Lískovec",14 000 Kč/měsíc,pronájem,bytu,34,,1+kk,Brno,Starý Lískovec,14000.0
Prodej bytu 3+kk 98 m²,"Augustina Lukeše, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",2 481 776 Kč,prodej,bytu,98,,3+kk,Brandýs nad Labem,Stará Boleslav - Brandýs nad Labem,2481776.0
Prodej bytu 4+kk 99 m²,Hodějice,7 490 000 Kč,prodej,bytu,99,,4+kk,Hodějice,,7490000.0
"Prodej rodinného domu 110 m², pozemek 304 m²","Široká, Křenovice",9 990 000 Kč,prodej,rodinného domu,110,304,,Křenovice,,9990000.0
"Prodej rodinného domu 158 m², pozemek 294 m²",Kobylnice,12 390 000 Kč,prodej,rodinného domu,158,294,,Kobylnice,,12390000.0
Prodej bytu 3+kk 95 m²,"Vídeňská, Brno - Štýřice",Cena na vyžádání,prodej,bytu,95,,3+kk,Brno,Štýřice,
Prodej bytu 2+kk 98 m²,"Augustina Lukeše, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",2 481 776 Kč,prodej,bytu,98,,2+kk,Brandýs nad Labem,Stará Boleslav - Brandýs nad Labem,2481776.0
Prodej bytu 4+kk 98 m²,"Augustina Lukeše, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",2 481 776 Kč,prodej,bytu,98,,4+kk,Brandýs nad Labem,Stará Boleslav - Brandýs nad Labem,2481776.0
Pronájem bytu 2+kk 61 m²,"Saarinenova, Praha - Hloubětín",27 000 Kč/měsíc,pronájem,bytu,61,,2+kk,Praha,Hloubětín,27000.0
Prodej bytu 1+kk 24 m²,"Velké náměstí, Králíky",3 261 000 Kč,prodej,bytu,24,,1+kk,Králíky,,3261000.0
Prodej bytu 1+kk 45 m²,"Velké náměstí, Králíky",6 691 000 Kč,prodej,bytu,45,,1+kk,Králíky,,6691000.0
Prodej bytu 1+kk 31 m²,"Velké náměstí, Králíky",4 501 000 Kč,prodej,bytu,31,,1+kk,Králíky,,4501000.0
Prodej bytu 3+kk 64 m²,"Nad Pisárkami, Brno - Pisárky",14 764 242 Kč,prodej,bytu,64,,3+kk,Brno,Pisárky,14764242.0
Pronájem bytu 2+kk 65 m²,"Pařížská, Ústí nad Labem - Ústí nad Labem-centrum",11 000 Kč/měsíc,pronájem,bytu,65,,2+kk,Ústí nad Labem,Ústí nad Labem-centrum,11000.0
Prodej bytu 2+kk 76 m²,"Nad Pisárkami, Brno - Pisárky",16 504 504 Kč,prodej,bytu,76,,2+kk,Brno,Pisárky,16504504.0
Prodej bytu 4+kk 128 m²,"Velká, Ostrava - Moravská Ostrava",11 480 450 Kč,prodej,bytu,128,,4+kk,Ostrava,Moravská Ostrava,11480450.0
Prodej bytu 3+kk 91 m²,"Velká, Ostrava - Moravská Ostrava",8 254 100 Kč,prodej,bytu,91,,3+kk,Ostrava,Moravská Ostrava,8254100.0
Prodej bytu 4+kk 128 m²,"Velká, Ostrava - Moravská Ostrava",12 424 828 Kč,prodej,bytu,128,,4+kk,Ostrava,Moravská Ostrava,12424828.0
Prodej bytu 1+kk 55 m²,"Náměstí, Kašperské Hory",7 395 000 Kč,prodej,bytu,55,,1+kk,Kašperské Hory,,7395000.0
Prodej bytu 3+kk 92 m²,"Náměstí, Kašperské Hory",Cena na vyžádání,prodej,bytu,92,,3+kk,Kašperské Hory,,
Prodej bytu 1+kk 36 m²,"Náměstí, Kašperské Hory",5 595 000 Kč,prodej,bytu,36,,1+kk,Kašperské Hory,,5595000.0
Prodej bytu atypický 672 m²,"Palackého náměstí, Kostelec nad Orlicí",Cena na vyžádání,prodej,bytu,,,,Kostelec nad Orlicí,,
Prodej bytu 1+kk 29 m²,"Svobody, Třeboň - Třeboň II",3 499 587 Kč,prodej,bytu,29,,1+kk,Třeboň,Třeboň II,3499587.0
Prodej bytu 2+kk 55 m²,"Svobody, Třeboň - Třeboň II",5 841 806 Kč,prodej,bytu,55,,2+kk,Třeboň,Třeboň II,5841806.0
Prodej bytu 4+kk 117 m²,"Svobody, Třeboň - Třeboň II",16 425 500 Kč,prodej,bytu,117,,4+kk,Třeboň,Třeboň II,16425500.0
Prodej bytu 3+kk 76 m²,"Svobody, Třeboň - Třeboň II",8 017 400 Kč,prodej,bytu,76,,3+kk,Třeboň,Třeboň II,8017400.0
"Prodej rodinného domu 241 m², pozemek 834 m²","U Kamene, Vysoký Újezd",33 500 000 Kč,prodej,rodinného domu,241,834,,Vysoký Újezd,,33500000.0
Prodej bytu 4+kk 129 m²,"Racková, Jesenice",18 500 000 Kč,prodej,bytu,129,,4+kk,Jesenice,,18500000.0
Prodej bytu 1+kk 53 m²,"Racková, Jesenice",7 900 000 Kč,prodej,bytu,53,,1+kk,Jesenice,,7900000.0
"Prodej rodinného domu 225 m², pozemek 504 m²","Loučná, Brno - Soběšice",22 900 000 Kč,prodej,rodinného domu,225,504,,Brno,Soběšice,22900000.0
Prodej bytu 2+kk 70 m²,"Národní obrany, Praha - Bubeneč",13 500 000 Kč,prodej,bytu,70,,2+kk,Praha,Bubeneč,13500000.0
Prodej bytu 2+kk 46 m²,"Šimáčkova, Praha - Holešovice",10 200 000 Kč,prodej,bytu,46,,2+kk,Praha,Holešovice,10200000.0
Pronájem bytu 2+1 53 m²,"Svazácká, Ostrava - Zábřeh",13 500 Kč/měsíc,pronájem,bytu,53,,2+1,Ostrava,Zábřeh,13500.0
Prodej bytu 4+kk 153 m²,"U Lesoparku, Praha - Řepy",21 835 000 Kč,prodej,bytu,153,,4+kk,Praha,Řepy,21835000.0
"Prodej rodinného domu 472 m², pozemek 722 m²","Rezkova, Brno - Stránice",45 000 000 Kč,prodej,rodinného domu,472,722,,Brno,Stránice,45000000.0
"Prodej rodinného domu 570 m², pozemek 1430 m²","Františka Landovského, Průhonice",66 900 000 Kč,prodej,rodinného domu,570,1430,,Průhonice,,66900000.0
"Prodej rodinného domu 156 m², pozemek 1085 m²","Nad Ovčínem, Zruč nad Sázavou",9 750 000 Kč,prodej,rodinného domu,156,1085,,Zruč nad Sázavou,,9750000.0
Prodej bytu 3+kk 126 m²,"Francouzská, Praha - Vinohrady",22 000 000 Kč,prodej,bytu,126,,3+kk,Praha,Vinohrady,22000000.0
Prodej bytu 3+kk 75 m²,Lukavice,4 199 000 Kč,prodej,bytu,75,,3+kk,Lukavice,,4199000.0
Prodej bytu 2+kk 59 m²,"Štefánikova, Mladá Boleslav - Mladá Boleslav III",4 990 000 Kč,prodej,bytu,59,,2+kk,Mladá Boleslav,Mladá Boleslav III,4990000.0
Prodej bytu 4+kk 168 m²,"Na Srážku, Praha - Modřany",24 000 000 Kč,prodej,bytu,168,,4+kk,Praha,Modřany,24000000.0
Pronájem bytu pokoje 10 m²,"Gutova, Praha - Strašnice",6 200 Kč/měsíc,pronájem,bytu,,,,Praha,Strašnice,6200.0
Prodej bytu 3+kk 97 m²,Josefův Důl - Antonínov,10 950 000 Kč,prodej,bytu,97,,3+kk,Josefův Důl,Antonínov,10950000.0
Prodej bytu 2+kk 65 m²,Josefův Důl - Antonínov,8 250 000 Kč,prodej,bytu,65,,2+kk,Josefův Důl,Antonínov,8250000.0
Prodej bytu 1+kk 40 m²,Josefův Důl - Antonínov,5 550 000 Kč,prodej,bytu,40,,1+kk,Josefův Důl,Antonínov,5550000.0
Prodej bytu 2+kk 63 m²,Josefův Důl - Antonínov,6 550 000 Kč,prodej,bytu,63,,2+kk,Josefův Důl,Antonínov,6550000.0
Prodej bytu 2+kk 63 m²,Josefův Důl - Antonínov,7 250 000 Kč,prodej,bytu,63,,2+kk,Josefův Důl,Antonínov,7250000.0
Prodej bytu 5+1 200 m²,"Na Míčánce, Praha - Dejvice",44 500 000 Kč,prodej,bytu,200,,5+1,Praha,Dejvice,44500000.0
Prodej bytu 3+kk 112 m²,"Na čihadle, Praha - Dejvice",21 500 000 Kč,prodej,bytu,112,,3+kk,Praha,Dejvice,21500000.0
